Taxa,ID,Meds,Magnitude,Cohort,Group,P value,Influence
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Fludarabine,-0.418403359,HSCT,Single drug analysis,4.66E-07,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__variabile,S. variabile,Fludarabine,5.247244351,HSCT,Single drug analysis,0.000708078,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme,C. spiroforme,Fludarabine,1.105701603,HSCT,Single drug analysis,0.009014792,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__,g__Coprobacillus,Fludarabine,6.009116019,HSCT,Single drug analysis,0.014581491,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Fludarabine,-2.007315691,HSCT,Single drug analysis,1.57E-11,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae,B. caccae,Melphalan,2.185139707,HSCT,Single drug analysis,0.007562936,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis,B. fragilis,Melphalan,3.900955466,HSCT,Single drug analysis,0.000299904,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Melphalan,5.158472149,HSCT,Single drug analysis,0.029620535,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Melphalan,5.905293943,HSCT,Single drug analysis,0.001208841,Promotion
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Melphalan,-9.998436986,HSCT,Single drug analysis,0.012643461,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__,g__Staphylococcus,Melphalan,-12.2990529,HSCT,Single drug analysis,0.000197057,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__casseliflavus,E. casseliflavus,Melphalan,-48.0657383,HSCT,Single drug analysis,0.020607025,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae,L. zeae,Melphalan,29.35335719,HSCT,Single drug analysis,0.010439316,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,S. infantis,Melphalan,1.355531399,HSCT,Single drug analysis,0.000111584,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__,f__Christensenellaceae,Melphalan,0.057175881,HSCT,Single drug analysis,0.016808373,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__,g__Anaerofustis,Melphalan,-0.461260685,HSCT,Single drug analysis,0.018749541,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Melphalan,0.700863351,HSCT,Single drug analysis,0.036703725,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Melphalan,0.073963252,HSCT,Single drug analysis,0.01799921,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__,f__Ruminococcaceae2,Melphalan,11.07833218,HSCT,Single drug analysis,0.01918965,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Melphalan,0.154426716,HSCT,Single drug analysis,0.008232749,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__,g__Dialister,Melphalan,0.914913907,HSCT,Single drug analysis,0.035767455,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__,g__Coprobacillus,Melphalan,-26.98173415,HSCT,Single drug analysis,0.00435449,Inhibition
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Melphalan,4.256214751,HSCT,Single drug analysis,0.005419834,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,VP16,-0.492952343,HSCT,Single drug analysis,8.10E-22,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,VP16,9.171130726,HSCT,Single drug analysis,0.034188293,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,VP16,-0.379615019,HSCT,Single drug analysis,4.85E-12,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,VP16,0.462038234,HSCT,Single drug analysis,0.027916254,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,VP16,-4.010474387,HSCT,Single drug analysis,3.74E-05,Inhibition
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__,f__Enterobacteriaceae,VP16,-15.34974305,HSCT,Single drug analysis,0.035026422,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,R. mucilaginosa,Thiotepa,0.079814939,HSCT,Single drug analysis,0.000713173,Promotion
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__,g__Bifidobacterium1,Thiotepa,4.224992664,HSCT,Single drug analysis,0.045173943,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__,g__Bacteroides1,Thiotepa,-0.031984563,HSCT,Single drug analysis,0.022685581,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Thiotepa,-4.80226542,HSCT,Single drug analysis,0.016350819,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis,B. fragilis,Thiotepa,-1.084974773,HSCT,Single drug analysis,9.76E-05,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus,B. ovatus,Thiotepa,-2.001913043,HSCT,Single drug analysis,0.000997288,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis,B. uniformis,Thiotepa,-1.284654605,HSCT,Single drug analysis,0.00679983,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis,P. distasonis,Thiotepa,-0.485087489,HSCT,Single drug analysis,8.59E-06,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__,f__Rikenellaceae,Thiotepa,-0.163328877,HSCT,Single drug analysis,0.001114855,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis,A. putredinis,Thiotepa,-0.304068796,HSCT,Single drug analysis,0.00138545,Inhibition
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Thiotepa,2.262233254,HSCT,Single drug analysis,0.029690032,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__,o__Lactobacillales,Thiotepa,-13.39314058,HSCT,Single drug analysis,0.014437361,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Thiotepa,0.125202154,HSCT,Single drug analysis,0.043476877,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__,g__Lactococcus,Thiotepa,11.0434337,HSCT,Single drug analysis,0.000339515,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__,g__Turicibacter,Thiotepa,0.069521929,HSCT,Single drug analysis,0.037526608,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__,f__Mogibacteriaceae,Thiotepa,-0.07511882,HSCT,Single drug analysis,0.027027637,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Thiotepa,-0.340177211,HSCT,Single drug analysis,6.70E-05,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus,R. gnavus,Thiotepa,-4.736305377,HSCT,Single drug analysis,0.021093729,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques,R. torques,Thiotepa,-0.574844757,HSCT,Single drug analysis,0.003098025,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__,g__Blautia,Thiotepa,-5.75908308,HSCT,Single drug analysis,0.002922751,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__obeum,B. obeum,Thiotepa,-0.889779241,HSCT,Single drug analysis,0.011814403,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__clostridioforme,C. clostridioforme,Thiotepa,-0.505980691,HSCT,Single drug analysis,0.008639894,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense,C. lavalense,Thiotepa,-0.016287052,HSCT,Single drug analysis,0.044733764,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__,g__Coprococcus,Thiotepa,3.76965745,HSCT,Single drug analysis,0.000530613,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__,g__Anaerotruncus,Thiotepa,-0.036626678,HSCT,Single drug analysis,0.015676548,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__,g__Dialister,Thiotepa,-0.260559975,HSCT,Single drug analysis,0.020729843,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula,V. parvula,Thiotepa,0.967748098,HSCT,Single drug analysis,0.016468027,Promotion
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__,g__Sutterella,Thiotepa,-1.920011895,HSCT,Single drug analysis,6.58E-07,Inhibition
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__,f__Enterobacteriaceae,Thiotepa,6.56145969,HSCT,Single drug analysis,0.049973345,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,g__Bacteroides2,Methotrexate,10.98215157,HSCT,Single drug analysis,0.041123919,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Methotrexate,12.64302426,HSCT,Single drug analysis,0.006003985,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__,g__Ruminococcus2,Methotrexate,0.632736398,HSCT,Single drug analysis,0.004596044,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__aldenense,C. aldenense,Methotrexate,-0.148933377,HSCT,Single drug analysis,0.045466502,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum,B. pullicaecorum,Methotrexate,2.453334577,HSCT,Single drug analysis,0.047384702,Promotion
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__,g__Campylobacter,Methotrexate,-2.292092756,HSCT,Single drug analysis,0.006291983,Inhibition
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__,g__Bifidobacterium1,Antibiotic,-3.361013614,HSCT,Single drug analysis,0.023084864,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Barnesiellaceae..g__.s__,f__Barnesiellaceae,Antibiotic,-0.179632235,HSCT,Single drug analysis,0.029175122,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__finegoldii,A. finegoldii,Antibiotic,2.517571344,HSCT,Single drug analysis,0.033364011,Promotion
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis,A. putredinis,Antibiotic,-0.281073958,HSCT,Single drug analysis,0.00028163,Inhibition
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Antibiotic,-2.743776957,HSCT,Single drug analysis,0.000102116,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Antibiotic,0.160951736,HSCT,Single drug analysis,0.000402209,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__,f__Lachnospiraceae2,Antibiotic,-1.246471619,HSCT,Single drug analysis,0.035447128,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques,R. torques,Antibiotic,-0.60810915,HSCT,Single drug analysis,6.52E-06,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__,f__Lachnospiraceae1,Antibiotic,-1.428139299,HSCT,Single drug analysis,0.000394952,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__,g__Dorea,Antibiotic,-0.479493377,HSCT,Single drug analysis,0.010508523,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__,g__Lachnospira,Antibiotic,-0.388708643,HSCT,Single drug analysis,0.020545152,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis,R. faecis,Antibiotic,-3.078531611,HSCT,Single drug analysis,2.68E-06,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii,F. prausnitzii,Antibiotic,-1.546389756,HSCT,Single drug analysis,0.022910737,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__,g__Oscillospira,Antibiotic,-0.82164957,HSCT,Single drug analysis,0.034617758,Inhibition
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__,g__Ruminococcus1,Antibiotic,-1.142279134,HSCT,Single drug analysis,0.010714531,Inhibition
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum,E. dolichum,Antibiotic,4.746323088,HSCT,Single drug analysis,0.044688839,Promotion
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__,f__Erysipelotrichaceae,Antibiotic,-0.647075067,HSCT,Single drug analysis,1.94E-06,Inhibition
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__,g__Fusobacterium,Antibiotic,-0.470679652,HSCT,Single drug analysis,0.000469027,Inhibition
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__lenta,E. lenta,Trimethoprim.sulfamethoxazole,-0.296755266,HSCT,Single drug analysis,0.048911445,Inhibition
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii,A. onderdonkii,Trimethoprim.sulfamethoxazole,2.390679538,HSCT,Single drug analysis,0.040761588,Promotion
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,o__Streptophyta,Trimethoprim.sulfamethoxazole,-1.978832157,HSCT,Single drug analysis,0.010572683,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,g__Enterococcus2,Trimethoprim.sulfamethoxazole,-8.187174547,HSCT,Single drug analysis,0.007734174,Inhibition
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii,L. delbrueckii,Trimethoprim.sulfamethoxazole,0.154349449,HSCT,Single drug analysis,0.001058487,Promotion
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__,g__Streptococcus1,Trimethoprim.sulfamethoxazole,8.575945052,HSCT,Single drug analysis,0.007067801,Promotion
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__,g__Finegoldia,Trimethoprim.sulfamethoxazole,0.141667578,HSCT,Single drug analysis,0.042296733,Promotion
